Fecha,Precio Cierre,Volumen,Inflacion Acumulada,Precio Ajustado,PIB US,Retorno
2016-03-17,48.61999893,6578000,0.048,50.95375887864,2.4,-0.30756926099072934
2016-03-18,50.04999924,12485200,0.048,52.45239920352,2.4,2.941177172913601
2016-03-21,50.11999893,7284700,0.048,52.525758878640005,2.4,0.1398595226032676
2016-03-22,49.38999939,13352500,0.048,51.76071936072,2.4,-1.4565035027625477
2016-03-23,48.90999985,8783100,0.048,51.2576798428,2.4,-0.9718557317844126
2016-03-24,47.84000015,9139000,0.048,50.1363201572,2.4,-2.187691071931166
2016-03-28,48.20000076,5887600,0.048,50.513600796480006,2.4,0.7525096339281683
2016-03-29,49.13000107,7302100,0.048,51.48824112136,2.4,1.9294611936433441
2016-03-30,49.33000183,5779300,0.048,51.69784191784,2.4,0.40708478657479047
2016-03-31,48.68000031,6550500,0.048,51.01664032488,2.4,-1.317659630826743
2016-04-01,47.00999832,13932200,0.059,49.78358822088,1.2,-3.4305710340288122
2016-04-04,47.15000153,7863200,0.059,49.931851620269995,1.2,0.2978158157908995
2016-04-05,47.15999985,6506900,0.059,49.94243984115,1.2,0.02120534395664762
2016-04-06,47.20000076,5542600,0.059,49.98480080484,1.2,0.08481957194069709
2016-04-07,45.79999924,10434300,0.059,48.50219919516,1.2,-2.966104867494929
2016-04-08,46.29000092,5845000,0.059,49.02111097427999,1.2,1.069872681508802
2016-04-11,46.54999924,8880400,0.059,49.296449195159994,1.2,0.5616727475321059
2016-04-12,46.63000107,8254600,0.059,49.38117113313,1.2,0.17186215103362587
2016-04-13,48.04000092,10882500,0.059,50.874360974279995,1.2,3.0238040266894606
2016-04-14,48.49000168,15906500,0.059,51.35091177912,1.2,0.9367209645757055
2016-04-15,47.5,11822200,0.059,50.302499999999995,1.2,-2.0416614677254823
2016-04-18,46.54999924,11664700,0.059,49.296449195159994,1.2,-2.0000016000000036
2016-04-19,46.86999893,8759000,0.059,49.63532886687,1.2,0.6874322131567946
2016-04-20,46.59999847,8397200,0.059,49.34939837973,1.2,-0.5760624411433042
2016-04-21,44.97000122,15330300,0.059,47.62323129198,1.2,-3.4978482908091872
2016-04-22,44.61999893,14258600,0.059,47.25257886687,1.2,-0.7783017133749569
2016-04-25,43.93000031,8774300,0.059,46.52187032828999,1.2,-1.5463886968766547
2016-04-26,43.59000015,11545700,0.059,46.16181015885,1.2,-0.7739589292071993
2016-04-27,43.68999863,9097500,0.059,46.26770854917,1.2,0.2294069274051068
2016-04-28,42.86000061,10229800,0.059,45.38874064599,1.2,-1.8997437537800124
2016-04-29,41.66999817,16658500,0.059,44.12852806203,1.2,-2.7764872213332445
2016-05-02,42.16999817,10701800,0.069,45.07972804373,1.2,1.1999040603749562
2016-05-03,42.91999817,14319500,0.069,45.88147804373,1.2,1.7785156095490533
2016-05-04,41.43000031,14925300,0.069,44.288670331389994,1.2,-3.471570185297616
2016-05-05,41.75,10271100,0.069,44.63075,1.2,0.7723864050340459
2016-05-06,42.04000092,10777200,0.069,44.94076098348,1.2,0.6946129820359213
2016-05-09,42.40000153,10512100,0.069,45.32560163557,1.2,0.8563287395855752
2016-05-10,42.95000076,9299300,0.069,45.91355081244,1.2,1.2971679484748466
2016-05-11,42.29999924,9037700,0.069,45.21869918756,1.2,-1.5133911722892448
2016-05-12,41.06999969,13454000,0.069,43.90382966861,1.2,-2.907800406854086
2016-05-13,41.59999847,10758600,0.069,44.47039836443,1.2,1.2904767080605732
2016-05-16,43,12303100,0.069,45.967,1.2,3.3653884170443265
2016-05-17,43.66999817,16203000,0.069,46.68322804373,1.2,1.5581352790697662
2016-05-18,43.86000061,10382900,0.069,46.88634065209,1.2,0.43508689709661297
2016-05-19,43.09999847,8860800,0.069,46.07389836443,1.2,-1.7327909927723948
2016-05-20,43.09999847,5964600,0.069,46.07389836443,1.2,0
