Fecha,Precio Cierre,Volumen,Inflacion Acumulada,Precio Ajustado,PIB US,Retorno
2015-01-12,13.25,685100,-0.001,13.23675,3.3,-4.193781079935108
2015-01-13,12.63000011,1076700,-0.001,12.61737010989,3.3,-4.679244452830194
2015-01-14,12.71000004,1618300,-0.001,12.69729003996,3.3,0.6334119501444834
2015-01-15,11.899999619999999,2081000,-0.001,11.888099620379998,3.3,-6.372937981517122
2015-01-16,11.82999992,1352700,-0.001,11.81816992008,3.3,-0.5882327918931358
2015-01-20,11.43000031,1154900,-0.001,11.41857030969,3.3,-3.38123087662709
2015-01-21,11.39000034,533700,-0.001,11.37861033966,3.3,-0.34995598350950713
2015-01-22,11.59000015,1099900,-0.001,11.57841014985,3.3,1.7559245305518538
2015-01-23,11.65999985,487400,-0.001,11.64833985015,3.3,0.6039663424853393
2015-01-26,12,841400,-0.001,11.988,3.3,2.915953296517408
2015-01-27,11.67000008,726600,-0.001,11.65833007992,3.3,-2.7499993333333377
2015-01-28,11.71000004,1114000,-0.001,11.69829003996,3.3,0.34275886654493637
2015-01-29,11.71000004,474000,-0.001,11.69829003996,3.3,0
2015-01-30,10.89000034,838900,-0.001,10.87911033966,3.3,-7.00255932706214
2015-02-02,10.850000380000001,641900,-0.001,10.83915037962,3.3,-0.3673090794412169
2015-02-03,11.27999973,632200,-0.001,11.26871973027,3.3,3.963127510968799
2015-02-04,11.28999996,679300,-0.001,11.27870996004,3.3,0.0886545233986391
2015-02-05,11.51000023,278500,-0.001,11.49849022977,3.3,1.9486295020323445
2015-02-06,11.06999969,599700,-0.001,11.05892969031,3.3,-3.8227674301271475
2015-02-09,10.93000031,536900,-0.001,10.91907030969,3.3,-1.2646737481525532
2015-02-10,10.84000015,410200,-0.001,10.82916014985,3.3,-0.8234232154381399
2015-02-11,10.52999973,335900,-0.001,10.51946973027,3.3,-2.8597824327520853
2015-02-12,10.600000380000001,766100,-0.001,10.58940037962,3.3,0.6647735213189865
2015-02-13,10.78999996,550500,-0.001,10.77920996004,3.3,1.7924488036669153
2015-02-17,10.78999996,429800,-0.001,10.77920996004,3.3,0
2015-02-18,10.85999966,667600,-0.001,10.84913966034,3.3,0.648746063572741
2015-02-19,10.93000031,487000,-0.001,10.91907030969,3.3,0.6445732245999055
2015-02-20,10.93999958,395200,-0.001,10.92905958042,3.3,0.09148462686548435
2015-02-23,10.84000015,762600,-0.001,10.82916014985,3.3,-0.9140716073043984
2015-02-24,10.80000019,484300,-0.001,10.78920018981,3.3,-0.36900331592707025
2015-02-25,11.53999996,2368300,-0.001,11.52845996004,3.3,6.851849601680414
2015-02-26,10.78999996,1000800,-0.001,10.77920996004,3.3,-6.49913347140081
2015-02-27,10.600000380000001,707000,-0.001,10.58940037962,3.3,-1.7608858267317222
2015-03-02,11.02000046,1012500,-0.002,10.99796045908,3.3,3.9622647636169175
2015-03-03,10.57999992,1892700,-0.002,10.55883992016,3.3,-3.9927452053844994
2015-03-04,10.35999966,866200,-0.002,10.33927966068,3.3,-2.0793975582563218
2015-03-05,10.15999985,732200,-0.002,10.1396798503,3.3,-1.9305001598812752
2015-03-06,9.630000114,1558800,-0.002,9.610740113772,3.3,-5.216532911661417
2015-03-09,9.880000114,1328400,-0.002,9.860240113772,3.3,2.596053967191054
2015-03-10,9.619999886,856700,-0.002,9.600759886228,3.3,-2.6315812246963213
2015-03-11,9.609999657,391400,-0.002,9.590779657686,3.3,-0.10395248563936388
2015-03-12,9.739999771,474800,-0.002,9.720519771458,3.3,1.3527587787717372
2015-03-13,9.550000191,358100,-0.002,9.530900190618,3.3,-1.9507144195804547
2015-03-16,9.619999886,375000,-0.002,9.600759886228,3.3,0.7329810848168172
2015-03-17,9.390000343,1077100,-0.002,9.371220342314,3.3,-2.3908476686649296
2015-03-18,9.260000229,597300,-0.002,9.241480228542,3.3,-1.38445270768188
2015-03-19,9.43999958,405000,-0.002,9.42111958084,3.3,1.9438374357301658
2015-03-20,9.43999958,641800,-0.002,9.42111958084,3.3,0
2015-03-23,9.659999847,628000,-0.002,9.640679847306,3.3,2.330511406654105
2015-03-24,9.880000114,666000,-0.002,9.860240113772,3.3,2.277435512261656
2015-03-25,9.399999619,466800,-0.002,9.381199619762,3.3,-4.858304549205785
2015-03-26,9.550000191,703800,-0.002,9.530900190618,3.3,1.5957508306362804
2015-03-27,9.699999809,539900,-0.002,9.680599809382,3.3,1.5706765968587084
2015-03-30,10.02000046,1086900,-0.002,9.99996045908,3.3,3.298975848464379
2015-03-31,10.52999973,964000,-0.002,10.50893973054,3.3,5.08981284018823
2015-04-01,10.82999992,1099000,-0.004,10.78667992032,2.3,2.849004726422727
2015-04-02,10.90999985,721600,-0.004,10.8663598506,2.3,0.7386881864353662
2015-04-06,11.09000015,385500,-0.004,11.0456401494,2.3,1.6498652839119852
2015-04-07,10.90999985,596500,-0.004,10.8663598506,2.3,-1.623086542519115
2015-04-08,11.11999989,769400,-0.004,11.07551989044,2.3,1.9248399898007387
2015-04-09,11.27000046,1029900,-0.004,11.22492045816,2.3,1.3489260025523215
2015-04-10,11.31999969,560900,-0.004,11.27471969124,2.3,0.4436488727525675
2015-04-13,11.64000034,963600,-0.004,11.59344033864,2.3,2.826860943138425
2015-04-14,11.71000004,1108600,-0.004,11.66316003984,2.3,0.6013719755613025
2015-04-15,12.39000034,1891200,-0.004,12.34044033864,2.3,5.807005103989732
2015-04-16,12.21000004,822100,-0.004,12.16116003984,2.3,-1.452786885072835
2015-04-17,12.05000019,748100,-0.004,12.00180018924,2.3,-1.3104000776072082
2015-04-20,10,3317800,-0.004,9.96,2.3,-17.01244944129748
2015-04-21,9.9200000760000009,1383600,-0.004,9.880320075696002,2.3,-0.7999992399999911
2015-04-22,9.680000305,875100,-0.004,9.64128030378,2.3,-2.419352511706581
2015-04-23,9.649999619,579300,-0.004,9.611399620524,2.3,-0.30992443238357187
2015-04-24,9.8299999239999991,686000,-0.004,9.790679924304,2.3,1.865288208360066
2015-04-27,9.470000267,807100,-0.004,9.432120265932,2.3,-3.662254931671549
2015-04-28,9.430000305,1037900,-0.004,9.39228030378,2.3,-0.42238607045648097
2015-04-29,9.369999886,407000,-0.004,9.332519886456,2.3,-0.6362716549244019
2015-04-30,9.489999771,722600,-0.004,9.452039771916,2.3,1.2806818192100067
2015-05-01,9.319999695,749500,-0.004,9.28271969622,2.3,-1.791360169675613
2015-05-04,9.300000191,553400,-0.004,9.262800190236,2.3,-0.21458695981212034
2015-05-05,9.409999847,747700,-0.004,9.372359847612,2.3,1.1827919757082443
2015-05-06,9.31000042,645300,-0.004,9.27276041832,2.3,-1.0626931841224312
2015-05-07,10,1582000,-0.004,9.96,2.3,7.411380761248132
2015-05-08,10.18999958,1074900,-0.004,10.14923958168,2.3,1.8999958000000028
2015-05-11,10.21000004,740500,-0.004,10.16916003984,2.3,0.19627537609771256
2015-05-12,10.31000042,813100,-0.004,10.26876041832,2.3,0.9794356474850621
2015-05-13,10.67000008,1037600,-0.004,10.62732007968,2.3,3.491752137096418
2015-05-14,10.399999619999999,474900,-0.004,10.358399621519998,2.3,-2.5304635236703796
2015-05-15,10.27000046,535700,-0.004,10.22892045816,2.3,-1.249991968749695
2015-05-18,9.989999771,658000,-0.004,9.950039771916002,2.3,-2.726394123257902
2015-05-19,9.970000267,431600,-0.004,9.930120265932,2.3,-0.20019523982430695
2015-05-20,9.960000038,275300,-0.004,9.920160037848,2.3,-0.10030319691263448
2015-05-21,10.01000023,553400,-0.004,9.96996022908,2.3,0.5020099579240467
2015-05-22,9.979999542,270200,-0.004,9.940079543832,2.3,-0.29970716594078883
2015-05-26,9.930000305,574400,-0.004,9.89028030378,2.3,-0.5009943817089582
2015-05-27,9.840000153,534900,-0.004,9.800640152388,2.3,-0.9063459137527187
2015-05-28,9.800000191,1063000,-0.004,9.760800190236,2.3,-0.4065036725411478
2015-05-29,9.359999657,764500,-0.004,9.322559658372,2.3,-4.489801279841639
2015-06-01,7.860000134,4375700,-0.003,7.836420133598,2.3,-16.025636516751423
2015-06-02,7.599999905,4509500,-0.003,7.577199905285,2.3,-3.307890897804406
2015-06-03,7.8800001140000004,1875800,-0.003,7.856360113658001,2.3,3.6842133223684645
2015-06-04,7.159999847,5628700,-0.003,7.1385198474589995,2.3,-9.137059093702451
2015-06-05,6.409999847,7350100,-0.003,6.390769847459,2.3,-10.474860559029842
2015-06-08,6.260000229,2506600,-0.003,6.241220228313,2.3,-2.3400877001612175
2015-06-09,6.519999981,1764800,-0.003,6.500439981057,2.3,4.153350518990847
2015-06-10,6.900000095,1361900,-0.003,6.879300094715,2.3,5.828222624346054
2015-06-11,6.909999847,979400,-0.003,6.8892698474589995,2.3,0.14492394003365147
2015-06-12,6.96999979,838600,-0.003,6.94908979063,2.3,0.8683059960710332
2015-06-15,6.8699998859999996,754600,-0.003,6.849389886341999,2.3,-1.4347188954506493
2015-06-16,6.599999905,1770200,-0.003,6.580199905284999,2.3,-3.9301307930181792
2015-06-17,6.489999771,800500,-0.003,6.470529771687,2.3,-1.6666687209596236
2015-06-18,6.5,750800,-0.003,6.4805,2.3,0.15408673887301563
2015-06-19,6.590000153,1073300,-0.003,6.570230152541,2.3,1.38461773846154
2015-06-22,6.519999981,700300,-0.003,6.500439981057,2.3,-1.0622180633506322
