Fecha,Precio Cierre,Volumen,Inflacion Acumulada,Precio Ajustado,PIB US,Retorno
2016-09-15,146.3999939,37700,0.113,162.9431932107,2.4,0.15050021274216718
2016-09-16,143.8500061,74700,0.113,160.1050567893,2.4,-1.7417950179299817
2016-09-19,144.6399994,42600,0.113,160.9843193322,2.4,0.5491784960028527
2016-09-20,145.7299957,66700,0.113,162.1974852141,2.4,0.7535925777942141
2016-09-21,145.9499969,56900,0.113,162.4423465497,2.4,0.15096493960852625
2016-09-22,150.5299988,92400,0.113,167.5398886644,2.4,3.138062348256196
2016-09-23,148.5200043,35200,0.113,165.30276478590002,2.4,-1.3352783604751988
2016-09-26,144.5,60200,0.113,160.8285,2.4,-2.7067089843869674
2016-09-27,148.1900024,86800,0.113,164.9354726712,2.4,2.5536348788927317
2016-09-28,146.1300049,58800,0.113,162.6426954537,2.4,-1.3901055851524897
2016-09-29,143.4100037,40300,0.113,159.6153341181,2.4,-1.861357085330519
2016-09-30,148.1600037,115900,0.113,164.9020841181,2.4,3.312181770761644
2016-10-03,145.1199951,72700,0.129,163.8404744679,2,-2.051841606426737
2016-10-04,143.4900055,59700,0.129,162.0002162095,2,-1.1232012507144964
2016-10-05,141.4400024,284000,0.129,159.6857627096,2,-1.4286730931932385
2016-10-06,142.5,94200,0.129,160.8825,2,0.7494326795910764
2016-10-07,141.4700012,99500,0.129,159.7196313548,2,-0.7228061754385874
2016-10-10,141.5800018,85900,0.129,159.8438220322,2,0.07775542451891773
2016-10-11,140.3000031,59600,0.129,158.3987034999,2,-0.9040815678249223
2016-10-12,141.7899933,92500,0.129,160.08090243569998,2,1.0620029701196736
2016-10-13,141.8699951,56300,0.129,160.1712244679,2,0.05642274051790885
2016-10-14,140.3500061,31600,0.129,158.4551568869,2,-1.0713956809039245
2016-10-17,141.2299957,26700,0.129,159.4486651453,2,0.6269964814771658
2016-10-18,142.3999939,35600,0.129,160.7695931131,2,0.8284346354334763
2016-10-19,143.9799957,43800,0.129,162.5534151453,2,1.109551873372651
2016-10-20,142.8899994,35700,0.129,161.3228093226,2,-0.7570470430289058
2016-10-21,143.1600037,29300,0.129,161.6276441773,2,0.1889595500971153
2016-10-24,144.5599976,25900,0.129,163.2082372904,2,0.9779225089528258
2016-10-25,145.3399963,27200,0.129,164.0888558227,2,0.5395674550011151
2016-10-26,144.4700012,46800,0.129,163.10663135480002,2,-0.5985930384945131
2016-10-27,141.5599976,103900,0.129,159.8212372904,2,-2.0142614908485306
2016-10-28,145.0899963,86800,0.129,163.8066058227,2,2.4936413957667325
2016-10-31,141.3000031,62500,0.129,159.5277034999,2,-2.612167135329921
2016-11-01,141.4100037,35600,0.146,162.05586424019998,2,0.07784897210664424
2016-11-02,142.7200012,43900,0.146,163.5571213752,2,0.9263824805345143
2016-11-03,141.3800049,34300,0.146,162.02148561539997,2,-0.9388987449083794
2016-11-04,140.5599976,35500,0.146,161.0817572496,2,-0.5800023140330123
2016-11-07,140.3699951,57500,0.146,160.8640143846,2,-0.13517537225683007
2016-11-08,141.2700043,34300,0.146,161.8954249278,2,0.6411692180788566
2016-11-09,157.8099976,254100,0.146,180.8502572496,2,11.708071633434495
2016-11-10,160.4900055,69000,0.146,183.921546303,2,1.6982497565160553
2016-11-11,167.4799957,83600,0.146,191.9320750722,2,4.355405296562218
2016-11-14,164.9799957,67600,0.146,189.06707507219997,2,-1.4927155864501853
2016-11-15,164.6000061,44400,0.146,188.6316069906,2,-0.2303246514146852
2016-11-16,165.3200073,27500,0.146,189.45672836579996,2,0.4374247711525355
2016-11-17,164.9700012,27100,0.146,189.0556213752,2,-0.2117143022893958
2016-11-18,165.4400024,29600,0.146,189.5942427504,2,0.28490101023287406
2016-11-21,164.8999939,23900,0.146,188.9753930094,2,-0.3264074541623671
2016-11-22,165.0200043,75000,0.146,189.1129249278,2,0.07277768613671999
2016-11-23,164.7299957,27400,0.146,188.7805750722,2,-0.1757414813011379
2016-11-25,165.8600006,13800,0.146,190.0755606876,2,0.6859739752910206
2016-11-28,166.1499939,31200,0.146,190.40789300939997,2,0.17484221569452466
2016-11-29,165.0599976,56300,0.146,189.1587572496,2,-0.6560315016659147
2016-11-30,161.7799988,39200,0.146,185.3998786248,2,-1.98715548751469
2016-12-01,159.0099945,32700,0.16699999999999998,185.5646635815,2,-1.7122044261011469
2016-12-02,157.6199951,19400,0.16699999999999998,183.9425342817,2,-0.8741585108349862
2016-12-05,160.0200043,28000,0.16699999999999998,186.74334501810003,2,1.5226552941315243
2016-12-06,159.7200012,23600,0.16699999999999998,186.39324140040003,2,-0.18747849764930788
2016-12-07,162.0299988,51100,0.16699999999999998,189.0890085996,2,1.4462794782398072
2016-12-08,161.9100037,30900,0.16699999999999998,188.9489743179,2,-0.07405733560986907
2016-12-09,167.1499939,67900,0.16699999999999998,195.0640428813,2,3.2363597555769763
2016-12-12,167.3300018,29600,0.16699999999999998,195.2741121006,2,0.10769243587749396
