Fecha,Precio Cierre,Inflacion Acumulada,Precio Ajustado,PIB US,Retorno
2017-05-22,43.20000076,0.28400000000000003,55.46880097584,2,-2.0408112045905042
2017-05-23,42.29999924,0.28400000000000003,54.31319902416,2,-2.083336815200564
2017-05-24,44.09999847,0.28400000000000003,56.624398035480006,2,4.255317405060087
2017-05-25,42.29999924,0.28400000000000003,54.31319902416,2,-4.081631048637096
2017-05-26,42.29999924,0.28400000000000003,54.31319902416,2,0
2017-05-30,44.09999847,0.28400000000000003,56.624398035480006,2,4.255317405060087
2017-05-31,43.20000076,0.28400000000000003,55.46880097584,2,-2.0408112045905042
2017-06-01,43.20000076,0.3,56.16000098800001,2,0
2017-06-02,42.29999924,0.3,54.989999012,2,-2.083336815200564
2017-06-05,42.29999924,0.3,54.989999012,2,0
2017-06-06,42.29999924,0.3,54.989999012,2,0
2017-06-07,41.40000153,0.3,53.820001989,2,-2.12765419898386
2017-06-08,41.40000153,0.3,53.820001989,2,0
2017-06-09,41.40000153,0.3,53.820001989,2,0
2017-06-12,40.5,0.3,52.65,2,-2.1739166587900303
2017-06-13,41.93999863,0.3,54.521998219,2,3.555552172839501
2017-06-14,40.5,0.3,52.65,2,-3.43347324043534
2017-06-15,42.29999924,0.3,54.989999012,2,4.4444425679012305
2017-06-16,41.40000153,0.3,53.820001989,2,-2.12765419898386
2017-06-19,41.40000153,0.3,53.820001989,2,0
2017-06-20,42.29999924,0.3,54.989999012,2,2.17390743173724
2017-06-21,44.09999847,0.3,57.32999801100001,2,4.255317405060087
2017-06-22,44.09999847,0.3,57.32999801100001,2,0
2017-06-23,42.29999924,0.3,54.989999012,2,-4.081631048637096
2017-06-26,45,0.3,58.5,2,6.382980634776962
2017-06-27,44.09999847,0.3,57.32999801100001,2,-2.000003399999994
2017-06-28,43.20000076,0.3,56.16000098800001,2,-2.0408112045905042
2017-06-29,43.20000076,0.3,56.16000098800001,2,0
2017-06-30,43.20000076,0.3,56.16000098800001,2,0
2017-07-03,42.29999924,0.317,55.70909899908,3.4,-2.083336815200564
2017-07-05,42.29999924,0.317,55.70909899908,3.4,0
2017-07-06,44.09999847,0.317,58.07969798499,3.4,4.255317405060087
2017-07-07,46.79999924,0.317,61.63559899908,3.4,6.1224509380351355
2017-07-10,47.70000076,0.317,62.82090100092,3.4,1.9230802021696862
2017-07-11,46.79999924,0.317,61.63559899908,3.4,-1.8867956093508529
2017-07-12,46.79999924,0.317,61.63559899908,3.4,0
2017-07-13,44.09999847,0.317,58.07969798499,3.4,-5.7692325082182965
2017-07-14,43.20000076,0.317,56.89440100092,3.4,-2.0408112045905042
